name,year,race,hair,pubichair,dead
Dru Hart,1968,White,Brown,NULL,FALSE
Majken Haugedal,1968,White,Blonde,NULL,FALSE
Paige Young,1968,White,Blonde,NULL,TRUE
Cynthia Myers,1968,White,Brown,NULL,TRUE
Leslie Bianchini,1969,White,Black,NULL,FALSE
Lorrie Menconi,1969,White,Red,NULL,FALSE
Kathy MacDonald,1969,White,Blonde,NULL,FALSE
Lorna Hopper,1969,White,Blonde,NULL,FALSE
Sally Sheffield,1969,White,Brown,NULL,FALSE
Helena Antonaccio,1969,White,Blonde,NULL,FALSE
Nancy McNiel,1969,White,Black,NULL,FALSE
Debbie Hooper,1969,White,Brown,NULL,FALSE
Shay Knuth,1969,White,Blonde,NULL,FALSE
Jean Bell,1969,Black,Black,NULL,FALSE
Claudia Jennings,1969,White,Red,NULL,TRUE
Gloria Root,1969,White,Brown,NULL,TRUE
Jill Taylor,1970,White,Blonde,NULL,FALSE
Linda Forsythe,1970,White,Brown,NULL,FALSE
Chris Koren,1970,White,Brown,NULL,FALSE
Barbara Hillary,1970,White,Blonde,NULL,FALSE
Jennifer Liano,1970,White,Brown,NULL,FALSE
Elaine Morton,1970,White,Blonde,NULL,FALSE
Carol Willis,1970,White,Brown,NULL,TRUE
Sharon Clark,1970,White,Red,NULL,FALSE
Debbie Ellison,1970,White,Blonde,NULL,FALSE
Madeline Collinson & Mary Collinson,1970,White,Brown,NULL,HALF TRUE
Avis Miller,1970,White,Blonde,NULL,FALSE
Carol Imhof,1970,White,Brown,NULL,FALSE
Liv Lindeland,1971,White,Blonde,NULL,FALSE
Willy Rey,1971,White,Red,NULL,TRUE
Cynthia Hall,1971,White,Black,NULL,FALSE
Chris Cranston,1971,White,Blonde,NULL,FALSE
Janice Pennington,1971,White,Blonde,NULL,FALSE
Lieko English,1971,White,Blonde,NULL,FALSE
Heather Van Every,1971,Asian,Brown,NULL,FALSE
Cathy Rowland,1971,White,Blonde,NULL,FALSE
Crystal Smith,1971,White,Brown,NULL,FALSE
Claire Rambeau,1971,White,Brown,NULL,FALSE
Danielle de Vabre,1971,White,Brown,NULL,FALSE
Karen Christy,1971,White,Blonde,NULL,FALSE
Marilyn Cole,1972,White,Brown,NULL,FALSE
P.J. Lansing,1972,White,Blonde,NULL,FALSE
Ellen Michaels,1972,White,Brown,NULL,FALSE
Vicki Peters,1972,White,Blonde,NULL,FALSE
Deanna Baker,1972,White,Red,NULL,FALSE
Debbie Davis,1972,White,Brown,NULL,FALSE
Carol O’Neal,1972,White,Brown,Yes,FALSE
Linda Summers,1972,White,Brown,NULL,FALSE
Susan Miller,1972,White,Brown,NULL,FALSE
Sharon Johansen,1972,White,Blonde,Yes,FALSE
Leona Sjoobloom,1972,White,Brown,Yes,FALSE
Mercy Rooney,1972,White,Blonde,NULL,FALSE
Miki Garcia,1973,White,Brown,Yes,FALSE
Cyndi Wood,1973,White,Red,Yes,FALSE
Bonnie Large,1973,White,Brown,Yes,FALSE
Julie Woodson,1973,Black,Black,NULL,FALSE
Anulka Dziubinska,1973,White,Blonde,Yes,FALSE
Ruthy Ross,1973,White,Brown,NULL,FALSE
Martha Smith,1973,White,Blonde,Yes,FALSE
Phyllis Coleman,1973,White,Brown,Yes,FALSE
Geri Glass,1973,White,Blonde,Yes,FALSE
Valeria Lane,1973,White,Brown,Yes,FALSE
Monica Tidwell,1973,White,Blonde,Yes,FALSE
Christine Maddox,1973,White,Brown,Yes,FALSE
Nancy Cameron,1974,White,Brown,Yes,FALSE
Francine Parks,1974,White,Brown,Yes,FALSE
Pamela Zinszer,1974,White,Brown,Yes,FALSE
Marlene Morrow,1974,White,Blonde,Yes,FALSE
Marilyn Lange,1974,White,Blonde,Yes,FALSE
Sandy Johnson,1974,White,Brown,Yes,FALSE
Carol Vitale,1974,White,Blonde,No,TRUE
Jean Manson,1974,White,Blonde,NULL,FALSE
Kristine Hanson,1974,White,Blonde,NULL,FALSE
